probeID	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	C13	C14	C15	C16	C17	C18	C19	C20	C21	C22	C23	C24	C25	C26	C27	C28	C29	C30	C31	C32	C33	C34	C35	C36	C37	C38	C39	C40
cg16162899	0.900521520916612	0.912815613504562	0.908211820542622	0.917035254167967	0.925499793371533	0.899686954614675	0.903601658068645	0.918220233850078	0.939537078632896	0.893266100451429	0.931439437403335	0.908067357054031	0.899241051526215	0.896672191873688	0.942736164587231	0.943023902635071	0.884681211424114	0.917809424573213	0.920261750251426	0.928854602692128	0.920876687864644	0.926210992200282	0.940951022392216	0.959388693129909	0.943681343863973	0.927312195090264	0.913286615124365	0.943327530415951	0.910578719374032	0.927955740478494	0.932584331375408	0.931373022553627	0.940853253826876	0.903115082860257	0.945928606492903	0.936674689969448	0.900262902173633	0.985496141364597	0.90426280797571	0.927612572518878
cg17149495	0.74093238750678	0.858073451989077	0.810354376569389	0.861153186600657	0.735568631328961	0.768392046348536	0.802295330632029	0.838507604388778	0.774101752685637	0.707013098017854	0.88977440219525	0.770759670931328	0.760499339465482	0.800245679539152	0.85264486271038	0.77496016369072	0.752493041388928	0.635780398375245	0.802902953565127	0.890665095907775	0.76186861537795	0.81010122874054	0.778510932506878	0.800699453569269	0.807672775155147	0.801457005236466	0.764820716441598	0.778720803041847	0.789323471443406	0.729784114276779	0.756503253529036	0.76362544296855	0.803436815600266	0.800333169654422	0.627262511229677	0.675180313338977	0.82189160634763	0.707175639834281	0.730877378805324	0.790408264488674
cg22802167	0.790661933685547	0.759801928974598	0.854574321751416	0.84951785671787	0.870542634994929	0.852201957963882	0.868542409298333	0.878534955713035	0.871793372687037	0.740913153383402	0.86155548414776	0.853110192984521	0.826216113215219	0.82018745903292	0.883370407868375	0.855441206540644	0.8663235951354	0.882564837140912	0.838622235984805	0.879879992855586	0.770299579364381	0.863927019727855	0.820045849384035	0.891064168100615	0.858947427665334	0.843394931810303	0.901443181002649	0.848930032562653	0.835960788659327	0.858275878829768	0.884528311547335	0.867304088473398	0.882150033999085	0.878155085018873	0.867735745666581	0.814368382804783	0.885102267750625	0.809925283226649	0.833145568655644	0.788006381493596
cg24669183	0.812268667987356	0.828203776693538	0.803114459703032	0.822596413969173	0.834315778856269	0.803860540449522	0.844941899122796	0.8297541480323	0.830972968589633	0.807254256415807	0.823232296242501	0.830694620947589	0.783743138809376	0.812586379707747	0.881818598863131	0.841426755348468	0.827140368125903	0.844227075533283	0.842091564017753	0.847631306474964	0.804745486510449	0.842772621879122	0.790057917488402	0.869527386752001	0.846868675780118	0.824756127634399	0.826240098492882	0.849964522426746	0.822227243678443	0.831521757794092	0.802741279988851	0.783843588827458	0.855828130349249	0.854362710234773	0.843474395716356	0.777399963551202	0.843319892387105	0.825161409262786	0.856023485073466	0.814418669833492
cg17308840	0.38967981088947	0.401142346865545	0.321470846575408	0.494695562855704	0.390762822611911	0.387089095342405	0.439849359395625	0.426090083676574	0.43260870115575	0.361404605657814	0.513372676319365	0.351819267309522	0.380675881127696	0.42813711705325	0.412121044935656	0.456866034827453	0.374102182958476	0.384990952936556	0.394927707713956	0.416277742684678	0.425239849839963	0.411572552352338	0.374691836894543	0.378300266644038	0.370701307413375	0.388724968079513	0.44573190711349	0.398510571482434	0.422210287843527	0.432531864445966	0.367007114191733	0.387208164783901	0.441511217260105	0.387888750457783	0.326568911800128	0.407615547501573	0.40032924612013	0.433231652377078	0.424763750274971	0.410975052434741
cg17866181	0.907120750018489	0.933888035481472	0.918214649853413	0.918537787270404	0.943134611333184	0.931654957048489	0.975057770017568	0.884397426217852	0.930130672041752	0.95550604137423	0.966553577547732	0.934736274665343	0.921520177341622	0.933482484747691	0.910059237735083	0.930110403879638	0.902876169348485	0.940658663483366	0.983082058933301	0.956476007709629	0.911277762102159	0.930968616909193	0.926321664239419	0.949832105902689	0.970237863827956	0.94139150347843	0.937574819151295	0.937711048733985	0.942569235190132	0.931912121252561	0.927311694667207	0.905257921635348	0.947792319936697	0.947816502475598	0.928932184024868	0.930974780824937	0.952570925607897	0.91992190667903	0.936502741330703	0.893345192900088
cg24159721	0.167066245671148	0.17627815606119	0.184957912585151	0.168643119130525	0.158009874454421	0.173434160017676	0.191152175079653	0.190899903926794	0.175631423882787	0.149643859497233	0.180566269367878	0.186428086910951	0.161812250026629	0.186116471534114	0.170832458417575	0.167203872839326	0.198827309943587	0.168244562801115	0.151283000523269	0.177862333769358	0.168591366044492	0.185551280509614	0.145450270496789	0.168599290076271	0.188215007380818	0.137437171399703	0.176204042729605	0.180041548425069	0.165500986331333	0.166746463197213	0.182719710681765	0.175584927921548	0.183472287241091	0.222783619373796	0.163653349957094	0.176701850367697	0.181370183784834	0.160099566494408	0.17427127714889	0.178505116643213
cg15174812	0.184867076026749	0.19247687983013	0.188789929748796	0.194438385898636	0.164517982430246	0.190358520395931	0.188120164286084	0.194061355157077	0.202374003139172	0.133538338977207	0.197894388928594	0.200329054752721	0.183534244625221	0.220202681430975	0.210131213475973	0.203054548607183	0.201483438048169	0.18250386067646	0.138821492940706	0.192878204110618	0.175298188006111	0.223541385943527	0.162503093717009	0.186907036298665	0.205327251521682	0.175122579986361	0.181856981994022	0.212612946850475	0.176506892114361	0.190591265433395	0.190218490819068	0.193092625368411	0.215049370779578	0.198929739610652	0.154874832732484	0.194086266804255	0.205500560675166	0.165994837005709	0.178262271591602	0.203278155091767
cg08477687	0.450864991200361	0.448528575998024	0.510365270679019	0.395321449811266	0.317138155290214	0.378097967958654	0.363585488587378	0.423600544001272	0.854786833561868	0.401612328551691	0.314371464474556	0.658432105029914	0.443015933171118	0.375715751321653	0.371338333534943	0.449852203664318	0.415608345890759	0.237522412861901	0.40727040095947	0.337801060986456	0.0844032371414295	0.431434873262863	0.4838592685619	0.519325282111606	0.461795556218747	0.479884563976559	0.418989558526613	0.406764782052053	0.359748094611324	0.244261948360152	0.430056503142754	0.357936009526074	0.782080800367046	0.427023742205206	0.292792247474162	0.413711724607367	0.364991396574184	0.218053446498837	0.280941548499324	0.360773164757655
cg00034556	0.356639123898007	0.357453419560987	0.420452942996101	0.350069724037235	0.272984330614043	0.350436677882596	0.334429314249752	0.387479886908874	0.374103446796838	0.251342432671181	0.33761750439257	0.422266066046407	0.370678456286359	0.37640703190315	0.327799877010779	0.365050075675075	0.376193703208688	0.273510376591169	0.227254635332443	0.336620704152359	0.185570780067118	0.374340275352721	0.322279048367265	0.365150321899321	0.380886206696835	0.348167453896117	0.388078266568723	0.339043622967466	0.348770156585836	0.298446619791782	0.373311292021636	0.382048486361455	0.388390690924347	0.315950890328763	0.291793078945455	0.320383949547633	0.32680955029013	0.268091292124782	0.290232898306746	0.378928205922623
cg00645010	0.12373696131609	0.161651652878422	0.151018425532593	0.13376912984581	0.0885201350283838	0.153504004870827	0.126389148482321	0.161760482990866	0.130615315931345	0.0834064735507331	0.134186554174187	0.223799429901235	0.130905521260232	0.170440029199785	0.134857868698874	0.152822178521203	0.162421917607532	0.107537238342808	0.0657818852932133	0.120523116803428	0.0508885532217724	0.156956600212294	0.12887099703641	0.181175280257792	0.182401155840866	0.112927731942726	0.173300969658068	0.145360115379242	0.141798511063228	0.0958459159709247	0.171033276651987	0.146715838036808	0.155679944313431	0.145949368619994	0.103855953646478	0.13122333652785	0.149092152313336	0.0791354625782093	0.100538859519899	0.157401018771451
cg15394630	0.218454128912696	0.250783833092731	0.260263563641634	0.238839379531115	0.180265538795628	0.211854774381758	0.234253082739799	0.253713268254016	0.251250762863689	0.184217914190573	0.246495685571126	0.263577448097702	0.227725231310503	0.245329111173702	0.247539149587046	0.262084226609178	0.268774605173896	0.2017557997952	0.169740675271647	0.23790301254186	0.119271706883092	0.258191582801862	0.206322984323842	0.282413434104483	0.281047456815935	0.207673327208651	0.250923872404425	0.240762710424494	0.237312720250227	0.211566146381801	0.260517289003796	0.245788839788112	0.257623042119992	0.230452513023211	0.198588117706084	0.227700807633288	0.232964048248728	0.196472451308945	0.200522121029097	0.259034858948974
cg05001044	0.149080443876653	0.164569534065668	0.161914372345287	0.157065006566903	0.148068497917215	0.165497548357639	0.162597980838576	0.199546323584173	0.172944870170473	0.140920195166129	0.157520234639727	0.238803657594847	0.152516914058696	0.17456999038264	0.172976977161704	0.162456640740147	0.202168013688139	0.15668348699572	0.136700981049631	0.17677887546436	0.139198473496955	0.184366128660758	0.132114858929669	0.178435943782376	0.183682612550827	0.133842454127891	0.177435471984476	0.18461128099888	0.170659753082122	0.157005951626366	0.170719256074182	0.184389431412817	0.183949644824048	0.163447195098967	0.133994937008825	0.163456977562725	0.166749773797929	0.140462091145667	0.153895801967967	0.18307606662718
cg03344490	0.174349352484631	0.1930415307998	0.195579265485835	0.176892112561067	0.153276556570045	0.186520209073257	0.196007612495355	0.21329864927342	0.197288113424962	0.142838838319868	0.181407671884798	0.243163287163254	0.174170181907337	0.196938679991739	0.186692178971618	0.186663791747289	0.212526868381469	0.162538392132867	0.130095975748629	0.179437920814203	0.138256799846114	0.204825922490731	0.169529839409168	0.196930840583943	0.215889333369271	0.145213641486222	0.206782140066545	0.191108134816072	0.174528859135237	0.177624374567646	0.214529462490906	0.188212559677647	0.21125695492828	0.181869668409925	0.15590296569377	0.176998041923826	0.195966036832093	0.153174672602508	0.166750063396464	0.200757314388274
cg17501828	0.261485674117475	0.301692283620899	0.293864020443293	0.298381287569311	0.273166063366038	0.291323837057973	0.30294472685158	0.278717558342866	0.298638480284957	0.271201304283801	0.285628664104952	0.344627418658199	0.273200513129997	0.292409716883569	0.299756279361682	0.298292604639118	0.311396969492164	0.267753868588623	0.245972548174262	0.284971861670301	0.246869133837568	0.287252448685284	0.256911854119637	0.296306287869696	0.322264262754695	0.27447101510051	0.289701548810853	0.302698874584462	0.302634191347075	0.272938817384898	0.297375182933864	0.300090563695819	0.298949926169414	0.274719730326698	0.282460147845246	0.278618261147705	0.29321003933832	0.275588715272309	0.295305752458977	0.293452877581881
cg23917638	0.327452480092188	0.339627203319078	0.371001223703754	0.345353013396703	0.262185774658906	0.289640086586567	0.298553959207532	0.313788768426208	0.349286306564142	0.265502761894464	0.377176344809488	0.421116958781614	0.321404955986817	0.314302187960879	0.356033857436136	0.329048302510813	0.391344374268671	0.269975911657038	0.300293381936309	0.351509519323274	0.147418197079889	0.371599856859338	0.292972001528179	0.397138349481306	0.402714324053455	0.28930452483734	0.362587891953309	0.343120834291223	0.318436104831151	0.290819613580644	0.36405576318228	0.326678543668626	0.348601447780768	0.327422843094065	0.274022075989941	0.32943316386879	0.321198745737382	0.271447581281127	0.277008266074928	0.356615276429917
cg18024856	0.0578454263367383	0.0673377109080983	0.105044847432006	0.0686871898968617	0.0406280193139591	0.0450547997794559	0.0460485482746679	0.099063764957249	0.0719557502182256	0.0340664370377782	0.0459507034836667	0.111729277745768	0.063752838697691	0.0844434336013657	0.059122556219754	0.0895517843974209	0.0725468333190264	0.0593664481843278	0.054010680347814	0.0682340154849119	0.0671801529449963	0.0460864842801878	0.0549554981025708	0.0883606395432549	0.097967017468403	0.0506952527501312	0.074100364551325	0.0719054024485595	0.0635067790867476	0.0369331750983455	0.0689582189583093	0.077926598193765	0.0888907601649334	0.0805168628428276	0.0396908974524124	0.0531582985630663	0.0968963291127292	0.041216598516797	0.0589082931990256	0.0609430627885833
cg18761878	0.433931151747001	0.459050377218489	0.470092926438353	0.446575227817478	0.39468995416745	0.428044174187812	0.454077780167263	0.477818224463643	0.433799339774601	0.407127721892948	0.467398119626286	0.446152770197134	0.419713950179263	0.432506954335652	0.452430905222676	0.441686753063914	0.443007778677378	0.439096221864086	0.390890362197977	0.445459548109322	0.373326225751627	0.457827588622823	0.434604459231655	0.459787544419534	0.458802805384055	0.411108637322605	0.457284104279841	0.439749247037218	0.418100821280623	0.428201589510814	0.462899447026469	0.438848246354712	0.441670326673754	0.448500481362912	0.401457763960025	0.432027302313476	0.461531541605499	0.403870199317797	0.434148610874918	0.451461936970451
cg27534567	0.228545878291879	0.229868748342594	0.259233719155317	0.198426661887748	0.0976742563710378	0.210689618285405	0.178685862408575	0.267937834873785	0.209148035014682	0.0884687804290288	0.214802025382255	0.291790270018701	0.200502896334976	0.244882247841406	0.221480074259782	0.167016905045416	0.258596302023408	0.235405217216768	0.204315443457992	0.232339808870509	0.167111640897198	0.227086453440454	0.191042826520997	0.320390943558857	0.317766800259565	0.161562932025299	0.231024537523178	0.238288289571869	0.217078273194615	0.210650407929972	0.198361003789626	0.171217439872988	0.23152771589606	0.607285637826071	0.174792527150684	0.160271988427985	0.25375989995451	0.158391504633959	0.259529186207429	0.259726596589326
