probeID	BETA	SE	P_VAL	FDR	DeltaMeth	N	Outlying	Skewed	Clumpy	Sparse	Striated	Convex	Skinny	Stringy	Monotonic
cg01014490	9.65477427535407e-08	1.67426537642017e-08	8.08994585631662e-09	0.00390856835107496	0.0382333434656458	429	0.0866358272614811	0.719531630547789	0.0450667476345368	0.0527300946018586	0.217241379310345	0.453802746712834	0.575149173294811	0.462794460959046	0.0268599816782048
cg03527274	1.87899790299354e-07	3.96190092452681e-08	2.10922231387281e-06	0.251331765439266	0.181845818372753	435	0.247085381164474	0.772569866833848	0.0695588343392834	0.0551401974173081	0.134328358208955	0.459113720161608	0.50281346674794	0.411956719716166	0.027308961367957
cg17431490	-2.18975519561928e-07	4.65384418548371e-08	2.53541266020324e-06	0.251331765439266	0.061337184020737	437	0.0923962731575486	0.697812948480124	0.0262772370784246	0.0483501497177109	0.150326797385621	0.439951599195638	0.612835861368203	0.367218121740782	0.0167657021535902
cg08230472	8.8679055934499e-08	1.89053597608525e-08	2.72294120489069e-06	0.251331765439266	0.0450643747663662	438	0.165421365891066	0.669087874033877	0.0287156174653598	0.0478595885899984	0.188356164383562	0.384109075163437	0.59191872720118	0.526294945942612	0.00634121087598672
cg00566999	1.3600165632917e-07	2.90324357596577e-08	2.8068140291737e-06	0.251331765439266	0.0893168010181808	438	0.20225666600734	0.736319878520364	0.0159075224316559	0.0504526009305589	0.168421052631579	0.388615451655946	0.550919914797252	0.436851436744369	0.00859579353825595
cg14251622	9.39750977061799e-08	2.02269623657695e-08	3.38381891037017e-06	0.251331765439266	0.0423568407356856	437	0.101379211791921	0.68425612907943	0.0441237068593736	0.0478543990620656	0.178947368421053	0.520240742807765	0.526800049908287	0.436851436744369	0.00462040881003625
cg04012266	7.08970921506293e-08	1.53096921040144e-08	3.64144140314663e-06	0.251331765439266	0.0406180636632053	438	0.111086728704413	0.658242163747195	0.0360055577613785	0.0475821853092977	0.177852348993289	0.397930517969883	0.599289581862583	0.454592637846043	0.0157479207103827
cg15382669	1.3359463339011e-07	2.94864763998485e-08	5.87861660245046e-06	0.26838447701814	0.0665980014380733	437	0.142826728271703	0.696740960650225	0.0826941087030319	0.0486778453009939	0.156028368794326	0.511281327341803	0.485201110387911	0.456375611010349	0.0168963591327735
cg27597145	-1.66662237467897e-07	3.68131687781007e-08	5.97576195726984e-06	0.26838447701814	0.0914970887305859	438	0.0411517691086274	0.667270720000312	0.0680845990093909	0.052191837392776	0.172955974842767	0.510160923478291	0.589075385155443	0.459480478016074	0.00029258547280475
cg26211634	-1.45849988525055e-07	3.22819094592239e-08	6.24235480536532e-06	0.26838447701814	0.120201181314139	437	0.14471176890086	0.722946621277361	0.0288095010719299	0.0517752423922982	0.16382252559727	0.46169250091672	0.585279232946775	0.47563099395713	0.013195891605139
